/home/datadons/.local/lib/python3.8/site-packages/gensim/similarities/__init__.py:15: UserWarning: The gensim.similarities.levenshtein submodule is disabled, because the optional Levenshtein package <https://pypi.org/project/python-Levenshtein/> is unavailable. Install Levenhstein (e.g. `pip install python-Levenshtein`) to suppress this warning.
  warnings.warn(msg)
Vector rep. of file: sets_wrapper/wrapper/withpattern/providers.py 1 in  0.0 min and 1.2659666538238525 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/io.py 1 in  0.0 min and 1.1219053268432617 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/_jit_internal.py 1 in  0.0 min and 3.1060686111450195 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/metrics_utils.py 1 in  0.0 min and 2.4744443893432617 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/container_resource.py 1 in  0.0 min and 1.3423397541046143 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/responses.py 1 in  0.0 min and 0.5363085269927979 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/errors.py 1 in  0.0 min and 0.5822253227233887 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/_signals.py 1 in  0.0 min and 0.21558809280395508 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/_timeouts.py 1 in  0.0 min and 0.1951451301574707 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/conf.py 1 in  0.0 min and 0.08101367950439453 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/access_token.py 1 in  0.0 min and 0.42241835594177246 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/circular_linked_list.py 1 in  0.0 min and 0.6024720668792725 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/cli.py 1 in  0.0 min and 0.18829584121704102 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/chilpit.py 1 in  0.0 min and 0.06338930130004883 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/build_directory_md.py 1 in  0.0 min and 0.43114733695983887 sec.
